customer_id,persona,upi_monthly_inflow_avg,upi_inflow_volatility,upi_active_days_per_month,gst_monthly_turnover,gst_filing_consistency,utility_payment_regularity,utility_avg_delay_days,telecom_recharge_frequency,telecom_recharge_consistency,ecommerce_txn_frequency,ecommerce_return_rate,mobility_active_days,mobility_distance_trend,existing_bureau_flag,existing_bureau_score_partial,months_of_data_available,num_sources_available,default_label
3883f45e-40f0-4f1e-b630-03b54e1555d8,Small Merchant,126075.78,0.3841,22,232627.94,0.5861,0.5788,11.23,,,4.48,0.1389,,,True,703.0,23,4,0
a0fa6dd5-de4c-427c-9693-a54ec327af38,Gig Worker,28990.72,0.3001,21,,,,,2.63,0.705,6.45,0.1327,20.09,0.1022,False,,21,4,0
89e1d365-f8b4-4619-aaba-3de30b76c13f,Informal/Rural Worker,24456.0,0.4391,15,,,0.7504,5.23,2.37,0.8431,,,,,True,674.0,24,3,0
a6d0bdc7-d0b6-4962-8bcc-b9b07fee24e9,Small Merchant,127960.02,0.3927,24,304157.88,0.8086,0.7632,6.59,,,7.41,0.1395,,,False,,19,4,0
b98c3a68-b2b1-4ef6-95a5-4f57ee8a2841,Informal/Rural Worker,21308.78,0.4533,13,,,0.8585,4.81,2.71,0.7396,,,,,False,,23,3,0
09b032b9-43ae-4e23-a73e-e41787913a5e,Small Merchant,150320.6,0.3561,25,323463.7,0.8457,0.7718,4.97,,,7.37,0.0994,,,False,,26,4,0
849b208b-dca7-4677-84ee-900f2f405a8c,Small Merchant,134646.07,0.389,23,262042.08,0.7853,0.6411,10.87,,,,,,,False,,21,3,1
870d939f-ad2f-4248-9b69-83919478d45a,Informal/Rural Worker,19199.28,0.3479,13,,,0.5631,13.1,1.61,0.5725,,,,,False,,16,3,0
38934e0f-f862-4dbe-9a47-7c6b4f19cffb,Informal/Rural Worker,22004.6,0.5391,17,,,0.7448,7.35,2.29,0.7451,,,,,False,,23,3,0
e2654431-b473-4f01-89bc-51cc80c3bedc,Informal/Rural Worker,31976.94,0.2699,20,,,0.8226,5.2,2.54,0.6424,,,,,False,,25,3,0
5fe6cce9-b36b-43fd-83ba-8e50311cc7ad,Gig Worker,30514.55,0.4673,21,,,,,1.87,0.7068,2.92,0.1818,17.19,-0.11,False,,16,4,0
4a728107-c314-4f6a-b2b0-cce52f9064a2,Small Merchant,125008.08,0.2919,26,,,0.6609,9.1,,,5.64,0.17,,,True,612.0,23,3,0
119d32d8-d36b-43f2-9f47-fecb32a8f4af,First-time Borrower,80416.15,0.1688,22,,,0.881,2.41,,,7.0,0.1016,,,False,,24,3,0
9ca43b5b-82e9-4388-98a6-67143a3abf93,Small Merchant,123261.73,0.3201,25,232581.12,0.6623,0.8259,5.07,,,6.33,0.1827,,,True,576.0,18,4,0
5c2591f9-85c3-4d25-9528-507eaa6444e6,Informal/Rural Worker,26493.1,0.4451,15,,,0.8396,3.72,2.56,0.7808,,,,,False,,18,3,0
94df4a5b-e069-4396-be45-f7c68ff6c2c9,First-time Borrower,38379.54,0.1952,21,,,0.7392,10.2,1.58,0.5832,2.61,0.1557,,,False,,17,4,0
3e11b3ab-c05c-4d10-9db3-b70ab2eb2ec1,Small Merchant,94826.92,0.3108,20,178009.64,0.6849,0.601,13.4,1.62,0.5353,4.75,0.1881,,,True,529.0,12,5,0
df8c59f5-adc0-4944-bf31-5a8e3f2b4512,Gig Worker,37311.69,0.4129,22,,,,,2.2,0.6144,,,17.0,0.0829,False,,15,3,0
21673030-e07f-4c7c-ae96-16048a97b896,Gig Worker,33813.74,0.4175,24,,,0.9161,7.24,2.67,0.8374,,,21.57,-0.0105,False,,18,4,1
f2705f8d-cc4e-4a17-8d05-139876df9774,Gig Worker,35049.96,0.3972,23,,,,,,,,,15.98,0.0869,False,,16,2,0
50008119-4eac-4b37-bb67-808b68bd97cf,Informal/Rural Worker,28752.01,0.4496,16,,,,,2.49,0.8434,,,,,False,,20,2,0
436f856e-cf2c-40a1-9851-0870f6a087dc,First-time Borrower,53147.88,0.2408,15,,,,,,,4.42,0.2044,,,True,562.0,12,2,0
18bfaaf9-9afb-4e6c-902a-bf4bb37a6993,First-time Borrower,65633.29,0.1395,20,,,0.7457,4.2,2.45,0.7619,5.53,0.0985,,,True,668.0,23,4,0
cf5858e2-091f-4599-aa68-3258dfe6b5c6,First-time Borrower,51283.6,0.2539,19,,,0.6462,7.9,1.68,0.6786,,,20.24,0.0703,True,605.0,19,4,0
dad2f32d-46ad-4c45-a2e7-fa269b96b0e9,First-time Borrower,56406.23,0.1915,23,,,0.8745,8.86,2.76,0.6954,6.75,0.1614,,,True,667.0,21,4,0
d1a7cdf0-cb07-41f5-8d76-f605f87c34e6,Informal/Rural Worker,23461.47,0.3545,19,,,0.7662,8.59,2.68,0.7429,,,,,False,,22,3,0
5fe91a38-f979-44f3-b04d-295778b25c4e,Gig Worker,11610.96,0.4171,17,,,0.6252,9.69,1.16,0.5378,,,12.03,-0.0395,False,,19,4,0
fe0924a8-90cb-46ca-a679-3460028b09d3,Gig Worker,48286.85,0.4874,25,,,0.8362,3.9,2.87,0.8452,,,21.75,0.0804,False,,25,4,0
eed23905-c83a-49e6-b678-57841b446b89,First-time Borrower,51256.14,0.1644,18,,,0.7159,9.11,,,5.24,0.1992,,,True,581.0,16,3,0
e9576ce2-de1e-430e-bb51-f6e2061aff33,Small Merchant,176845.04,0.3417,26,391104.6,0.8163,0.9174,5.7,,,8.49,0.0939,25.32,0.1668,False,,30,5,0
9e2fd9fd-de34-42b8-ad09-a757f40bf810,Small Merchant,110801.41,0.328,25,184296.88,0.7364,0.6155,10.29,,,5.58,0.1353,,,False,,14,4,1
dbb8591f-fd4e-461f-bd46-cd11f1bcac9d,Gig Worker,45120.76,0.3476,24,,,,,2.42,0.9032,,,24.55,0.118,False,,26,3,0
9bb8f9dd-a22f-48cc-9df0-8abfdb0202fb,Small Merchant,112221.94,0.3003,22,200526.79,0.7289,,,,,2.46,0.2653,17.75,0.0247,False,,13,4,1
